Offence Date,Other Theft (excl. Unlawful Entry)
Nov 2019,12296
Dec 2019,12623
Jan 2020,13826
Feb 2020,12388
Mar 2020,12037
Apr 2020,7638
May 2020,7048
Jun 2020,7040
Jul 2020,6991
Aug 2020,7486
Sep 2020,8129
Oct 2020,8617
Nov 2020,8353
Dec 2020,8779
Jan 2021,9030
Feb 2021,8443
Mar 2021,9217
Apr 2021,8928
May 2021,9850
Jun 2021,9235
Jul 2021,9229
Aug 2021,9437
Sep 2021,9739
Oct 2021,10084
Nov 2021,10064
Dec 2021,9720
Jan 2022,10064
Feb 2022,9564
Mar 2022,10121
Apr 2022,9103
May 2022,10421
Jun 2022,10562
Jul 2022,10108
Aug 2022,10653
Sep 2022,10714
Oct 2022,11829
Nov 2022,12766
Dec 2022,12993
Jan 2023,13030
Feb 2023,11982
Mar 2023,12578
Apr 2023,12014
May 2023,12842
Jun 2023,12155
Jul 2023,11773
Aug 2023,12042
Sep 2023,11877
Oct 2023,12818
Nov 2023,11955
Dec 2023,11915
Jan 2024,12987
Feb 2024,12644
Mar 2024,12345
Apr 2024,12300
May 2024,12722
Jun 2024,12314
Jul 2024,11612
Aug 2024,11351
