Offence Date,All Offences
Nov 2019,3972
Dec 2019,3974
Jan 2020,4136
Feb 2020,4460
Mar 2020,4157
Apr 2020,3082
May 2020,3377
Jun 2020,3405
Jul 2020,3755
Aug 2020,3713
Sep 2020,3463
Oct 2020,3680
Nov 2020,3633
Dec 2020,3613
Jan 2021,3898
Feb 2021,3530
Mar 2021,3708
Apr 2021,3341
May 2021,4341
Jun 2021,4254
Jul 2021,4226
Aug 2021,4724
Sep 2021,4194
Oct 2021,4654
Nov 2021,4355
Dec 2021,4583
Jan 2022,4616
Feb 2022,4331
Mar 2022,5044
Apr 2022,4227
May 2022,4332
Jun 2022,4586
Jul 2022,4074
Aug 2022,4752
Sep 2022,5078
Oct 2022,5069
Nov 2022,5330
Dec 2022,5490
Jan 2023,5017
Feb 2023,4678
Mar 2023,5258
Apr 2023,4559
May 2023,5061
Jun 2023,5034
Jul 2023,4710
Aug 2023,5366
Sep 2023,5125
Oct 2023,5526
Nov 2023,5599
Dec 2023,5520
Jan 2024,4650
Feb 2024,4972
Mar 2024,5238
Apr 2024,4609
May 2024,5051
Jun 2024,5053
Jul 2024,5157
Aug 2024,4782
